在线,b,游戏,n,6.317123749836557,67,3.419133269330794,3.135856549151495,10
魔兽,n,世界,n,8.289757623493779,55,0.10511563115499381,0.38409888825633887,10
毛利率,n,为,p,4.612127278885729,31,1.6942398579365001,4.6717805845106355,10
科技,n,讯,ng,9.195038966240642,10,0.0,1.9709505944546686,10
增值,v,服务,vn,7.704795122772622,23,0.0,0.0,10
和,c,去年同期,n,5.241511178639719,85,0.6838476797669018,0.9329256531195573,10
损失,n,为,p,5.162275009011726,18,0.0,2.8218881955261788,10
汇兑,v,损失,n,8.967829528606417,23,1.432041072444667,1.0862293462325945,10
游戏,n,的,uj,1.8578234225531187,27,2.7943061329209686,3.5417435206018597,10
分别,d,为,p,5.363908870181375,81,0.6176333478655843,6.148371299127493,10
同比,j,增长,v,5.388382070984699,161,2.027615388560365,5.733614343987273,10
%,x,和,c,2.0595836533858867,38,5.19529593449622,5.19529593449622,10
上,f,一季度,mq,7.320414209396587,93,0.07031353560331217,1.0628107758971854,10
的,uj,增加,v,3.4890170792827027,29,1.8833374604210062,1.711861308011431,10
梦幻,n,西游,f,9.289757623493779,27,0.0,0.44734074202279617,10
收入,v,的,uj,2.926930676835021,39,1.815650053490554,2.7083895659387123,10
万元,m,人民币,n,6.086143398195888,65,5.487677236072095,0.5572873558505315,10
服务,vn,及其,c,7.988588088773215,23,0.0,0.0,10
大唐,nz,无双,m,9.704795122772623,21,0.0,0.4929498399741424,10
成本,n,的,uj,3.624083323513363,24,3.069773835029478,1.584962500721156,10
及其,c,它,r,9.512150044830227,23,0.0,0.6665783579949205,10
人民币,n,和,c,2.7508362735073253,35,0.7755126581331477,5.072140159802107,10
一季度,mq,和,c,5.145827830584411,75,0.0,0.0,10
去年同期,n,分别,d,7.100467297184536,74,0.0,0.0,10
部分,n,抵消,v,9.39667282741029,23,0.3165085719521878,0.3063966918310446,10
网易,n,科技,n,6.766195667436765,21,0.933286525452814,0.9983636725938131,10
所,c,部分,n,9.034102748025584,21,3.0056785904566774,0.0,10
主要,b,是,v,6.5527920293275725,72,2.845747914335459,0.6392472882615761,10
销售,vn,和,c,5.205328842333072,15,1.5589385323502771,1.2309595631140104,10
净,a,汇兑,v,8.6948110342,24,1.8747863347890925,1.280672129520887,10
游戏,n,收入,v,4.53238084348952,36,1.9185229803780692,2.3735835986534672,10
运营,vn,费用,n,6.667460971998897,47,1.6195432792484836,3.2719460322064817,10
又,d,被,p,9.567291599022688,20,1.4366664819166877,2.971508886568612,10
是,v,由于,c,6.941834320073472,66,0.11327430349709672,4.020644038624935,10
毛利润,nr,为,p,3.583026159484963,11,2.663532754804255,3.277613436819116,10
亿元,m,人民币,n,5.58155518863044,166,6.209237964644081,0.4261692896864658,10
截止,v,至,p,8.704795122772623,20,0.21609640474436814,1.4406454496153462,10
无线,n,增值,v,9.090448815270372,27,1.1405180562767117,0.725375928405144,10
定期存款,l,共为,d,10.92718754410907,9,0.0,3.169925001442312,9
费用,n,为,p,2.9110499054675643,12,0.8112781244591328,3.584962500721156,9
31,m,日,m,8.150339158769826,22,0.0,1.4482588622383792,9
和,c,定期存款,l,5.54636576016814,9,0.9182958340544896,0.0,9
费用,n,的,uj,2.719660983495594,18,0.6143694458867569,2.288019280279689,9
:,x,NTES,eng,7.467755925471773,9,0.9910760598382222,0.0,9
运营,vn,利润,n,7.302696679201277,12,2.3208020839342964,1.4182958340544896,9
年,m,12,m,4.741320998797737,15,1.9329145639793979,0.0,9
环比,j,增长,v,4.796433139947436,70,1.1327873980460599,5.336655253296911,9
广告,n,收入,v,5.569092621846041,36,2.983291667467951,2.5899453940307713,9
服务,vn,的,uj,2.2159985848762864,12,0.8166890883150209,1.207518749639422,9
的,uj,销售,vn,4.07659552821087,12,1.5283208335737186,0.6500224216483541,9
的,uj,毛利率,n,3.1295070592493124,19,1.2596510646844068,0.2974722489192897,9
运营,vn,利润率,n,6.47262168064359,9,0.0,0.0,9
的,uj,同比,j,1.5766219698070938,23,2.3677441766885825,0.2580186686648155,9
主要,b,由于,c,4.257336145801402,11,1.676737030052133,1.5724689175624083,9
费用率,n,为,p,5.23580404443369,14,0.37123232664087563,3.3787834934861767,9
它,r,业务,n,7.952722636216208,19,0.0,1.0869877023399053,9
人力,n,成本,n,7.337779138356723,12,2.2295739585136225,2.2862156256610597,9
相关,v,的,uj,3.640024867382385,14,2.780955111609128,2.495602923729013,9
的,uj,环比,j,2.4700998659400724,28,2.9722092797270987,2.6509070503574685,9
月,m,31,m,7.41827236401646,22,0.976020648236615,0.0,9
12,m,月,m,6.399940541244202,17,0.5225593745369408,1.1400677626718574,9
运营,vn,费用率,n,7.2152338379509375,16,1.0778195311147831,0.8683927290103626,9
收入,v,增长,v,3.6001299474796493,31,2.1602867977089697,1.8195016785493345,9
利润率,n,为,p,5.3232668856840295,14,0.9261634981262887,3.6644977792004623,9
